date,open,high,low,close,adjClose
2010/1/4,62.63,63.07,62.31,62.78,54.9
2010/1/5,62.66,62.75,62.19,62.3,54.48
2010/1/6,62.2,62.41,61.06,61.45,53.74
2010/1/7,61.25,62.34,61.11,61.9,54.13
2010/1/8,62.27,62.41,61.6,61.84,54.08
2010/1/11,62.02,62.43,61.85,62.32,54.5
2010/1/12,62.03,62.66,62,62.66,54.8
2010/1/13,62.86,63.29,62.56,62.59,54.73
2010/1/14,62.56,62.73,62.09,62.65,54.79
2010/1/15,62.67,62.98,62.05,62.28,54.46
2010/1/19,62.9,63.82,62.77,63.48,55.51
2010/1/20,63.49,63.6,62.75,63.01,55.1
2010/1/21,62.97,63.6,62.8,63.2,55.27
2010/1/22,63.23,64.78,62.81,63.39,55.43
2010/1/25,63.34,63.6,62.92,63.09,55.17
2010/1/26,62.75,64,62.75,63.81,55.8
2010/1/27,63.67,64,63.3,63.73,55.73
2010/1/28,63.85,63.87,62.75,62.83,54.94
2010/1/29,62.82,63.22,62.39,62.43,54.59
2010/2/1,62.83,63.97,62.83,63.89,55.87
2010/2/2,63.87,64.05,63.35,64.03,55.99
2010/2/3,64.63,65.75,64.61,65.21,57.03
2010/2/4,65.19,65.27,64.02,64.06,56.02
2010/2/5,64.07,64.34,62.63,63.37,55.42
2010/2/8,63.48,63.8,62.92,62.92,55.02
2010/2/9,63.15,63.85,62.77,63.57,55.59
2010/2/10,63.54,63.83,62.97,63.25,55.31
2010/2/11,63.25,63.84,62.54,63.79,55.78
2010/2/12,63.21,63.89,63.19,63.59,55.61
2010/2/16,63.5,64.18,63.28,64.01,55.98
2010/2/17,64.21,64.35,63.77,64.26,56.19
2010/2/18,64.11,64.62,64,64.48,56.39
2010/2/19,64.46,64.89,64.3,64.74,56.61
2010/2/22,64.93,64.93,64.63,64.77,56.64
2010/2/23,64.78,65.05,64.7,64.87,56.73
2010/2/24,64.96,65.55,64.77,65.26,57.07
2010/2/25,64.29,64.64,63.76,64.38,56.78
2010/2/26,64.46,64.73,63.85,63.85,56.31
2010/3/1,63.98,64.14,63.67,63.98,56.42
2010/3/2,64.42,64.42,63.91,64.07,56.5
2010/3/3,64.25,64.34,63.45,63.63,56.12
2010/3/4,63.79,63.79,63.3,63.43,55.94
2010/3/5,63.72,63.76,63.25,63.67,56.15
2010/3/8,64.41,65.54,64.23,65.12,57.43
2010/3/9,64.99,65.5,64.84,65.1,57.41
2010/3/10,65.02,65.24,64.73,64.94,57.27
2010/3/11,64.8,65.21,64.67,65.21,57.51
2010/3/12,65.46,65.98,65.36,65.53,57.79
2010/3/15,65.7,66.19,65.69,65.93,58.14
2010/3/16,66.22,66.24,65.8,66.07,58.27
2010/3/17,66.23,66.44,65.87,66.38,58.54
2010/3/18,66.47,66.74,66.36,66.68,58.81
2010/3/19,66.89,66.91,66,66.53,58.67
2010/3/22,66.07,67.25,65.9,67.01,59.1
2010/3/23,67.14,67.35,66.83,67.35,59.4
2010/3/24,66.99,67.19,66.58,66.8,58.91
2010/3/25,67.13,67.44,66.84,66.9,59
2010/3/26,67.09,67.45,66.93,67.26,59.32
2010/3/29,67.46,67.48,66.59,67.07,59.15
2010/3/30,67.11,67.49,66.92,67.24,59.3
2010/3/31,67.15,67.39,66.63,66.72,58.84
2010/4/1,67.06,67.71,67.06,67.58,59.6
2010/4/5,67.76,68.2,67.76,68.03,60
2010/4/6,67.77,67.96,67.65,67.81,59.8
2010/4/7,67.8,68.13,67.26,67.7,59.71
2010/4/8,67.9,69.03,67.87,68.76,60.64
2010/4/9,68.66,68.77,68.14,68.68,60.57
2010/4/12,68.77,68.85,68.37,68.53,60.44
2010/4/13,68.68,69.05,68.31,68.92,60.78
2010/4/14,69.18,69.53,69.05,69.42,61.22
2010/4/15,69.31,69.49,68.97,69.16,60.99
2010/4/16,69.11,69.28,68.33,69.03,60.88
2010/4/19,69,69.97,68.99,69.92,61.66
2010/4/20,69.98,70.59,69.95,70.34,62.03
2010/4/21,70.62,71.19,70.05,70.36,62.05
2010/4/22,70.25,71.47,70.12,71.03,62.64
2010/4/23,71.22,71.35,70.75,71.15,62.75
2010/4/26,71.3,71.42,70.73,71.02,62.63
2010/4/27,70.71,71.33,70.4,70.53,62.2
2010/4/28,70.48,70.73,69.76,70.34,62.03
2010/4/29,70.58,71.7,70.58,71.52,63.07
2010/4/30,71.53,71.71,70.39,70.59,62.25
2010/5/3,70.88,71.84,70.65,71.42,62.99
2010/5/4,71.15,71.3,70.3,70.64,62.3
2010/5/5,70.4,71.06,70.13,70.66,62.32
2010/5/6,70.45,71.49,67.49,69.42,61.22
2010/5/7,69.02,69.32,67.42,68.01,59.98
2010/5/10,70.07,71.05,69.75,70.58,62.25
2010/5/11,70.17,71.1,70.13,70.48,62.16
2010/5/12,70.73,70.94,70.15,70.67,62.32
2010/5/13,70.71,71.3,70.45,70.5,62.18
2010/5/14,70.28,70.45,69.1,69.59,61.37
2010/5/17,69.82,70.25,69.35,70.14,61.86
2010/5/18,70.53,70.81,69.84,70.02,61.75
2010/5/19,69.66,69.95,68.9,69.4,61.2
2010/5/20,68.54,69.36,67.63,67.66,59.67
2010/5/21,67.07,68.04,65.55,67.86,59.85
2010/5/24,67.84,68.51,67.26,67.66,59.67
2010/5/25,66.59,67.84,66.2,67.84,59.83
2010/5/26,67.89,68.06,66,66.01,58.22
2010/5/27,66.41,67.2,66.02,67.2,59.76
2010/5/28,67.24,67.63,66.75,66.87,59.47
2010/6/1,66.23,67.31,66.04,66.36,59.02
2010/6/2,66.53,67.8,66.2,67.77,60.27
2010/6/3,67.8,68.25,67.44,67.85,60.34
2010/6/4,66.82,68.09,66.52,66.7,59.32
2010/6/7,66.64,67.82,66.25,66.75,59.36
2010/6/8,67.16,68.45,65.81,68.38,60.81
2010/6/9,68.68,68.9,68.04,68.26,60.71
2010/6/10,68.98,69.41,68.71,69.37,61.69
2010/6/11,68.86,69.55,68.75,69.54,61.84
2010/6/14,69.95,69.98,69.3,69.3,61.63
2010/6/15,69.94,70.49,69.85,70.4,62.61
2010/6/16,70.06,70.5,70.01,70.29,62.51
2010/6/17,70.55,70.58,69.38,70.05,62.3
2010/6/18,70.25,70.43,69.81,69.88,62.15
2010/6/21,70.27,70.5,69.77,69.92,62.18
2010/6/22,70.01,70.37,68.55,68.64,61.04
2010/6/23,68.82,69.3,68.47,68.63,61.03
2010/6/24,68.43,68.54,67.61,67.73,60.23
2010/6/25,67.71,68.29,67.37,67.42,59.96
2010/6/28,67.58,67.89,67.25,67.33,59.88
2010/6/29,66.61,66.79,66.09,66.46,59.1
2010/6/30,66.29,66.84,65.8,65.87,58.58
2010/7/1,66.72,66.9,65.31,66.71,59.33
2010/7/2,66.75,67,65.96,66.14,58.82
2010/7/6,66.52,67.1,65.63,66.11,58.79
2010/7/7,66.09,67.37,66,67.31,59.86
2010/7/8,67.8,69.15,67.55,69.02,61.38
2010/7/9,69.08,69.33,68.75,69.22,61.56
2010/7/12,68.96,70,68.96,69.94,62.2
2010/7/13,70.44,71.07,70.12,70.84,63
2010/7/14,70.5,70.98,70.16,70.9,63.05
2010/7/15,70.9,71.46,70.43,71.33,63.44
2010/7/16,71.16,71.28,69.86,69.94,62.2
2010/7/19,69.97,70.38,69.45,69.91,62.17
2010/7/20,69.47,70.96,69.44,70.87,63.03
2010/7/21,70.93,71,69.65,70.11,62.35
2010/7/22,70.51,71.54,70.51,71.4,63.5
2010/7/23,70.76,71.17,68.94,69.9,62.16
2010/7/26,70.04,70.87,69.9,70.87,63.03
2010/7/27,71.03,71.03,69.99,70.4,62.61
2010/7/28,70.21,70.38,69.37,69.77,62.05
2010/7/29,70.2,70.25,68.9,69.38,61.7
2010/7/30,68.92,69.98,68.59,69.73,62.01
2010/8/2,70.5,70.5,69.93,70.25,62.48
2010/8/3,70.21,70.84,70.06,70.45,62.65
2010/8/4,70.38,70.95,70.21,70.69,62.87
2010/8/5,70.5,70.5,69.84,70.45,62.65
2010/8/6,70.16,71.8,70.02,71.74,63.8
2010/8/9,72.41,73.34,72.35,72.92,64.85
2010/8/10,72.5,72.98,71.97,72.84,64.78
2010/8/11,72.01,72.32,71.5,71.57,63.65
2010/8/12,71.04,72.15,71.04,72.06,64.08
2010/8/13,71.69,72.47,71.69,71.89,63.93
2010/8/16,71.76,72.12,71.54,71.79,63.84
2010/8/17,72.08,73.64,71.74,73.22,65.12
2010/8/18,73.23,73.82,72.8,73.25,65.14
2010/8/19,73.15,73.4,72.45,72.97,64.89
2010/8/20,72.87,73.2,72.68,73.08,64.99
2010/8/23,73.53,73.94,73.33,73.34,65.22
2010/8/24,72.75,73.1,72.19,72.72,64.67
2010/8/25,72.3,73.45,72.3,73.19,65.09
2010/8/26,73.69,73.76,73.11,73.16,65.06
2010/8/27,73.47,74.07,72.86,73.99,65.8
2010/8/30,73.31,73.47,72.74,72.74,65.17
2010/8/31,72.56,73.32,72.55,73.06,65.46
2010/9/1,73.92,74.6,73.72,74.54,66.79
2010/9/2,74.75,75.06,74.29,75.02,67.22
2010/9/3,74.9,75.35,74.42,75.09,67.28
2010/9/7,74.97,75.98,74.93,75.8,67.92
2010/9/8,75.94,76.26,75.75,76.08,68.17
2010/9/9,74.34,76.08,73.66,74.37,66.63
2010/9/10,74.19,75.13,74.18,75.01,67.21
2010/9/13,75.25,75.34,74.01,74.57,66.81
2010/9/14,74.47,74.57,73.81,73.94,66.25
2010/9/15,73.72,74.83,73.71,74.71,66.94
2010/9/16,74.62,74.9,74.35,74.8,67.02
2010/9/17,74.6,74.79,74.13,74.32,66.59
2010/9/20,74.32,75.35,74.3,75.11,67.3
2010/9/21,75.32,75.75,74.88,75.51,67.66
2010/9/22,75.36,75.78,75,75.13,67.32
2010/9/23,75.16,75.43,74.58,74.64,66.88
2010/9/24,75.4,75.44,74.94,75.1,67.29
2010/9/27,75.23,75.39,74.75,74.76,66.98
2010/9/28,74.96,74.96,74.22,74.63,66.87
2010/9/29,74.57,74.75,74.3,74.45,66.71
2010/9/30,74.52,74.97,73.87,74.51,66.76
2010/10/1,75.04,75.2,74.54,74.92,67.13
2010/10/4,74.91,75.13,74.4,74.95,67.15
2010/10/5,75.39,75.96,75.25,75.82,67.93
2010/10/6,75.79,75.95,75.4,75.56,67.7
2010/10/7,75.51,75.99,75.51,75.86,67.97
2010/10/8,75.91,76.31,75.64,76.1,68.18
2010/10/11,76.01,76.25,75.27,75.59,67.73
2010/10/12,75.71,75.82,74.88,75.58,67.72
2010/10/13,75.89,76.07,75.41,75.75,67.87
2010/10/14,75.77,77.09,75.67,77.04,69.03
2010/10/15,77.47,77.77,76.93,77.48,69.42
2010/10/18,77.54,77.94,77.16,77.32,69.28
2010/10/19,77.08,77.62,76.68,76.99,68.98
2010/10/20,77.27,78.14,77.17,77.41,69.36
2010/10/21,78.44,79.48,78.27,78.44,70.28
2010/10/22,78.05,78.75,77.85,78.55,70.38
2010/10/25,78.99,79.25,78.63,78.7,70.51
2010/10/26,78.59,79,78.58,78.76,70.57
2010/10/27,78.46,78.62,77,77.48,69.42
2010/10/28,77.72,77.77,77.12,77.48,69.42
2010/10/29,77.6,79.9,77.4,77.77,69.68
2010/11/1,78.06,78.63,77.37,77.88,69.78
2010/11/2,78.39,78.76,78.27,78.4,70.25
2010/11/3,78.41,78.71,77.82,78.5,70.33
2010/11/4,79.12,79.47,78.84,79.18,70.94
2010/11/5,79.39,79.39,78.8,79.3,71.05
2010/11/8,78.94,79.4,78.7,79.31,71.06
2010/11/9,79.19,79.25,78.71,79.1,70.87
2010/11/10,79.07,79.58,78.66,79.5,71.23
2010/11/11,79.36,79.85,79.32,79.7,71.41
2010/11/12,79.3,79.45,78.14,78.85,70.65
2010/11/15,78.98,79.38,78.77,79.07,70.85
2010/11/16,78.6,78.64,77.12,77.42,69.37
2010/11/17,77.43,78.52,77.43,78.37,70.22
2010/11/18,78.63,79.48,78.63,79.02,70.8
2010/11/19,79.12,79.66,78.76,79.64,71.36
2010/11/22,79.37,79.53,79.06,79.52,71.25
2010/11/23,79.05,79.2,78.44,79.01,70.79
2010/11/24,79.37,79.67,79.25,79.48,71.21
2010/11/26,79.24,79.27,78.54,78.54,70.37
2010/11/29,77.94,78.47,77.15,78.26,70.67
2010/11/30,77.76,78.73,77.5,78.3,70.7
2010/12/1,79.14,79.58,79.1,79.29,71.6
2010/12/2,79.47,79.65,79.22,79.38,71.68
2010/12/3,79.31,79.79,79.05,79.76,72.02
2010/12/6,79.69,79.94,79.4,79.58,71.86
2010/12/7,79.96,80.94,79.9,80.34,72.55
2010/12/8,78.83,78.95,78.12,78.74,71.1
2010/12/9,79.2,79.21,77.45,77.61,70.08
2010/12/10,77.65,77.84,77.32,77.56,70.04
2010/12/13,77.74,77.76,77.08,77.11,69.63
2010/12/14,77.05,77.37,76.91,77.11,69.63
2010/12/15,77.23,77.45,76.91,76.98,69.51
2010/12/16,77.19,77.19,76.53,76.71,69.27
2010/12/17,76.71,76.96,76.62,76.81,69.36
2010/12/20,76.95,77.06,76.82,76.92,69.46
2010/12/21,77.14,77.14,76.51,76.86,69.4
2010/12/22,77.04,77.37,76.91,77.01,69.54
2010/12/23,77.01,77.11,76.76,76.96,69.49
2010/12/27,76.73,76.75,76.23,76.43,69.02
2010/12/28,76.44,76.61,75.94,76.43,69.02
2010/12/29,76.75,77.5,76.63,76.99,69.52
2010/12/30,76.86,77.05,76.52,76.76,69.31
2010/12/31,76.71,76.86,76.34,76.76,69.31
2011/1/3,77.1,77.59,76.6,76.6,69.17
2011/1/4,75.74,75.91,74.11,74.31,67.1
2011/1/5,74.68,74.9,74.31,74.66,67.42
2011/1/6,74.9,74.94,74.08,74.21,67.01
2011/1/7,74.35,74.58,73.59,74.37,67.16
2011/1/10,74.25,74.46,73.52,73.56,66.42
2011/1/11,73.84,74.49,73.57,73.9,66.73
2011/1/12,74.37,74.37,73.46,73.6,66.46
2011/1/13,73.44,73.55,72.46,72.67,65.62
2011/1/14,72.4,74.12,72.14,74.06,66.88
2011/1/18,74.65,75.36,74.31,74.68,67.44
2011/1/19,75.1,75.44,74.75,75.35,68.04
2011/1/20,75.39,75.74,74.68,75.16,67.87
2011/1/21,75.75,75.75,74.64,75.01,67.73
2011/1/24,74.25,75.85,74.15,75.38,68.07
2011/1/25,75.54,75.68,75,75.48,68.16
2011/1/26,75.59,75.71,75.15,75.17,67.88
2011/1/27,75.43,75.45,74.34,74.35,67.14
2011/1/28,74.37,74.73,73.05,73.28,66.17
2011/1/31,73.8,73.98,73.35,73.67,66.52
2011/2/1,74.22,74.26,73.2,73.47,66.34
2011/2/2,73.49,73.76,73.08,73.64,66.5
2011/2/3,73.84,74.27,73.81,73.83,66.67
2011/2/4,73.73,74.5,73.64,74.05,66.87
2011/2/7,74.13,74.35,73.3,73.45,66.33
2011/2/8,74.37,75.97,74.2,75.36,68.05
2011/2/9,75.5,75.99,75.18,75.93,68.56
2011/2/10,75.98,76.32,75.53,75.76,68.41
2011/2/11,75.8,76.23,75.51,76.14,68.75
2011/2/14,76.07,76.45,75.83,76.24,68.84
2011/2/15,75.87,76.34,75.8,76.15,68.76
