datetime,action,price,vol,cash
2014/3/19,sell,96.1,605,58109.07324
2014/3/7,buy,95.5,605,57746.26945
2014/2/28,sell,95.15,607,57746.26945
2014/2/6,buy,94.14,607,57133.30327
2014/1/3,sell,95.72,597,57133.30327
2013/12/19,buy,94.34,597,56309.6096
2013/12/2,sell,95.69,588,56309.6096
2013/10/29,buy,94.45,588,55579.92085
2013/10/23,sell,92.64,600,55579.92085
2013/10/15,buy,92.24,600,55339.93847
2013/9/24,sell,96.15,576,55339.93847
2013/8/27,buy,92.52,576,53250.66154
2013/8/8,sell,95.64,557,53250.66154
2013/7/31,buy,95.68,557,53272.93283
2013/7/18,sell,97.72,545,53272.93283
2013/6/27,buy,97.21,545,52994.90176
2013/6/19,sell,96.39,550,52994.90176
2013/6/10,buy,97.09,550,53379.75944
2013/5/24,sell,97.07,550,53379.75944
2013/5/16,buy,97.88,550,53825.1865
2013/5/8,sell,97.71,551,53825.1865
2013/4/29,buy,98.9,551,54480.71789
2013/4/18,sell,98.64,552,54480.71789
2013/3/27,buy,95.73,552,52873.47044
2013/3/20,sell,95.6,553,52873.47044
2013/2/22,buy,91.46,553,50583.76157
2013/2/7,sell,90.86,557,50583.76157
2013/1/4,buy,86.27,557,48028.40756
2012/12/26,sell,85.2,564,48028.40756
2012/11/20,buy,81.53,564,45959.57826
2012/10/19,sell,84.43,544,45959.57826
2012/10/10,buy,87.93,544,47864.80773
2012/9/27,sell,88.76,539,47864.80773
2012/8/20,buy,83.25,539,44893.47954
2012/8/7,sell,84.04,534,44893.47954
2012/8/1,buy,84.44,534,45107.15626
2012/7/23,sell,83.98,537,45107.15626
2012/7/3,buy,83.64,537,44924.53619
2012/6/22,sell,83.42,539,44924.53619
2012/6/11,buy,81.76,539,44030.56916
2012/5/31,sell,84.35,522,44030.56916
2012/5/23,buy,85.7,522,44735.26706
2012/5/7,sell,89.48,500,44735.26706
2012/4/30,buy,91.3,500,45645.1708
2012/4/12,sell,91.47,499,45645.1708
2012/3/29,buy,91.47,499,45645.1708
2012/3/21,sell,90.61,504,45645.1708
2012/3/6,buy,93.58,504,47141.32086
2012/2/29,sell,93.01,507,47141.32086
2012/2/21,buy,93.49,507,47384.60474
2012/2/14,sell,92.61,512,47384.60474
2012/2/3,buy,93.04,512,47604.61749
2012/1/24,sell,91.87,518,47604.61749
2012/1/10,buy,92.75,518,48060.61034
2012/1/5,sell,92.87,518,48060.61034
2011/11/29,buy,86.95,518,44996.98578
2011/11/16,sell,86.01,523,44996.98578
2011/10/10,buy,81.73,523,42757.86127
2011/10/3,sell,79.43,538,42757.86127
2011/9/28,buy,81.28,538,43753.73239
2011/9/26,sell,82.49,530,43753.73239
2011/9/16,buy,81.52,530,43239.2322
2011/9/6,sell,82.01,527,43239.2322
2011/8/12,buy,79.34,527,41831.49229
2011/7/13,sell,77.92,537,41831.49229
2011/6/10,buy,73.7,537,39565.9777
2011/5/31,sell,74.79,529,39565.9777
2011/3/24,buy,68.21,529,36084.97578
2011/3/15,sell,68.39,528,36084.97578
2011/3/2,buy,68,528,35879.19803
2011/2/22,sell,68.36,525,35879.19803
2011/2/7,buy,66.33,525,34813.7391
2011/1/27,sell,67.14,519,34813.7391
2011/1/19,buy,68.04,519,35280.41121
2010/12/1,sell,71.6,493,35280.41121
2010/11/22,buy,71.25,493,35107.9511
2010/11/15,sell,70.85,496,35107.9511
2010/11/3,buy,70.33,496,34850.27806
2010/10/29,sell,69.68,500,34850.27806
2010/10/4,buy,67.15,500,33584.90488
2010/9/27,sell,66.98,501,33584.90488
2010/9/20,buy,67.3,501,33745.35829
2010/9/14,sell,66.25,509,33745.35829
2010/8/4,buy,62.87,509,32023.70831
2010/7/27,sell,62.61,511,32023.70831
2010/7/26,buy,63.03,511,32238.52955
2010/7/22,sell,63.5,508,32238.52955
2010/7/7,buy,59.86,508,30390.52565
2010/6/22,sell,61.04,498,30390.52565
2010/6/2,buy,60.27,498,30007.15893
